id,tested_positive
483,20.320175
484,27.710377
485,4.6725492
486,18.913689
487,16.46762
488,23.276794
489,8.492426
490,13.091072
491,21.34221
492,18.448732
493,13.51862
494,16.208038
495,14.854908
496,14.969126
497,5.4014025
498,3.909439
499,11.609522
500,14.289907
501,5.6291094
502,19.481712
503,11.084831
504,23.360914
505,24.90374
506,22.153904
507,10.302902
508,9.515442
509,18.020039
510,17.518892
511,14.016453
512,19.040735
513,9.25
514,24.897413
515,14.417858
516,13.315363
517,13.672504
518,13.8363495
519,28.142326
520,25.917473
521,16.044882
522,17.907217
523,23.593521
524,9.774891
525,32.3837
526,4.6162767
527,17.311182
528,15.595858
529,8.383441
530,16.620504
531,10.445486
532,11.90402
533,12.768301
534,22.730927
535,4.2571774
536,26.048378
537,9.356297
538,24.492344
539,14.293449
540,41.08798
541,12.985214
542,19.837627
543,4.5067396
544,9.552507
545,9.901575
546,5.806873
547,26.024118
548,20.600946
549,13.131891
550,11.56485
551,6.3692017
552,19.898735
553,26.489248
554,21.541962
555,5.3696675
556,13.426779
557,15.0313015
558,25.855125
559,18.054485
560,10.598263
561,11.66692
562,22.777723
563,18.85007
564,24.053274
565,10.692459
566,22.333736
567,26.29012
568,4.7139864
569,26.639702
570,13.435097
571,16.807875
572,28.834959
573,23.364502
574,4.372711
575,19.166452
576,25.161602
577,34.064766
578,18.778454
579,19.900087
580,11.2425785
581,8.48061
582,12.230335
583,8.71935
584,16.61844
585,9.117968
586,32.325783
587,11.648119
588,5.135554
589,10.37553
590,11.313784
591,23.193401
592,20.908382
593,32.287827
594,29.634815
595,31.557604
596,9.71059
597,12.582243
598,23.301306
599,24.987982
600,6.8393025
601,8.689605
602,17.133602
603,18.540422
604,18.519674
605,22.579796
606,17.161104
607,29.169603
608,13.841904
609,23.22927
610,5.7203445
611,15.583412
612,9.585701
613,27.557978
614,25.275005
615,9.813898
616,23.810434
617,12.713221
618,20.010586
619,9.856556
620,6.75085
621,14.669245
622,9.836443
623,23.756113
624,11.61042
625,26.570013
626,14.365339
627,16.300037
628,18.36745
629,9.240171
630,29.683119
631,18.191175
632,28.92887
633,25.384962
634,20.269676
635,10.519512
636,17.073395
637,10.928551
638,19.305353
639,19.907759
640,9.047977
641,10.300886
642,26.204802
643,32.11066
644,22.553926
645,28.715261
646,6.402551
647,24.69097
648,3.6312094
649,12.129845
650,14.210865
651,17.504679
652,11.328257
653,11.868198
654,15.141453
655,14.427725
656,13.297562
657,30.547905
658,12.015266
659,3.9377387
660,28.180285
661,25.968851
662,8.28844
663,10.147341
664,10.082033
665,5.248264
666,24.707706
667,9.590422
668,22.586302
669,22.591776
670,11.200258
671,5.7807045
672,6.063948
673,16.360271
674,3.52199
675,13.684591
676,22.493307
677,25.405943
678,16.863451
679,10.937637
680,15.006548
681,11.280577
682,16.332293
683,20.088465
684,3.5835435
685,27.773636
686,17.725012
687,13.794561
688,5.7247715
689,11.639511
690,17.682175
691,7.9899974
692,14.582037
693,2.4423463
694,3.366834
695,10.062325
696,22.883633
697,30.8649
698,28.118841
699,5.1679783
700,6.530287
701,2.5821686
702,18.915226
703,17.158901
704,29.066256
705,6.207407
706,17.177124
707,5.4007587
708,10.7584915
709,12.942722
710,20.369926
711,8.066738
712,24.232542
713,10.289421
714,4.724083
715,3.43034
716,9.248991
717,21.845924
718,12.043642
719,21.647472
720,7.8249207
721,4.0077605
722,19.95474
723,25.748201
724,7.06528
725,18.836878
726,2.721056
727,12.001339
728,6.412215
729,16.974981
730,7.668694
731,7.029039
732,20.913029
733,6.7976766
734,21.253613
735,15.223059
736,5.709882
737,21.662226
738,6.546651
739,24.577436
740,17.454868
741,17.498196
742,10.685524
743,24.409647
744,14.498718
745,14.77343
746,28.08231
747,28.488134
748,15.857937
749,7.4709487
750,6.730581
751,24.72123
752,6.140831
753,11.105171
754,20.762102
755,20.818674
756,19.883953
757,16.678028
758,10.693773
759,9.410776
760,14.91678
761,9.794264
762,5.120097
763,25.24216
764,30.267752
765,23.447151
766,20.26428
767,7.866885
768,12.444191
769,13.7244
770,17.829723
771,11.596485
772,24.903708
773,18.13988
774,5.0026145
775,10.038069
776,22.88176
777,21.6957
778,17.73753
779,12.36445
780,22.507801
781,31.812714
782,17.037378
783,21.421799
784,10.184776
785,5.315996
786,6.1652875
787,20.764576
788,22.51309
789,14.40258
790,19.613256
791,7.6162567
792,12.812727
793,14.085117
794,10.1280155
795,19.73719
796,12.8638
797,12.878281
798,5.8629766
799,16.191912
800,13.034256
801,11.253
802,8.166109
803,11.748795
804,12.104368
805,22.167261
806,11.012745
807,20.067196
808,20.799166
809,27.841509
810,13.597631
811,18.420513
812,14.023523
813,16.466734
814,7.399362
815,3.4027245
816,5.852501
817,15.70499
818,29.972874
819,7.347116
820,23.57494
821,15.635281
822,15.3704605
823,19.117205
824,24.338142
825,4.5621233
826,8.997498
827,20.48418
828,20.914974
829,15.546028
830,17.971659
831,3.0697694
832,12.505138
833,11.953461
834,13.629076
835,28.826754
836,12.149712
837,17.289732
838,21.452202
839,18.45124
840,19.162485
841,37.69346
842,32.537365
843,18.138058
844,18.725538
845,6.336112
846,13.146551
847,16.839188
848,8.274599
849,13.204086
850,5.558269
851,5.527154
852,6.0418
853,9.84165
854,6.160814
855,23.907312
856,23.20272
857,21.123047
858,6.72773
859,13.231983
860,20.351175
861,20.422117
862,21.943724
863,22.102137
864,12.724504
865,6.1656823
866,6.933046
867,9.025862
868,24.571459
869,23.756208
870,6.5419106
871,11.092928
872,14.289621
873,32.899166
874,27.713602
875,18.228214
876,18.355051
877,11.515558
878,18.4919
879,16.93073
880,7.240002
881,12.560253
882,8.969891
883,13.485128
884,27.817142
885,15.109535
886,29.89756
887,18.43943
888,13.52832
889,4.611642
890,32.06829
891,25.395296
892,17.940239
